area,i,j,cell,bounds,tile,well
1644,27.476885644768856,572.956204379562,1,"(9, 546, 47, 601)",100,A1
1312,29.942835365853657,1189.65625,2,"(9, 1169, 52, 1211)",100,A1
1092,27.01007326007326,1373.2811355311355,3,"(9, 1354, 47, 1393)",100,A1
1218,24.7192118226601,1908.8464696223316,4,"(9, 1887, 43, 1931)",100,A1
1080,28.328703703703702,2014.0861111111112,5,"(9, 1996, 47, 2033)",100,A1
1360,34.654411764705884,2167.3360294117647,6,"(17, 2143, 53, 2192)",100,A1
1411,40.09425939050319,1597.0935506732815,7,"(18, 1579, 64, 1617)",100,A1
1309,41.04048892284187,2073.5622612681436,8,"(22, 2053, 61, 2096)",100,A1
1130,43.36283185840708,275.9867256637168,9,"(24, 254, 62, 299)",100,A1
1163,44.894239036973346,915.6319862424764,10,"(26, 896, 64, 936)",100,A1
1340,49.61940298507463,1972.8567164179105,11,"(28, 1953, 74, 1993)",100,A1
1161,51.576227390180875,1325.4625322997415,12,"(32, 1307, 72, 1344)",100,A1
1947,57.67180277349769,1070.7919876733436,13,"(33, 1046, 85, 1097)",100,A1
1649,58.430563978168585,671.3559733171619,14,"(35, 649, 83, 695)",100,A1
698,49.71919770773639,869.5057306590257,15,"(36, 854, 66, 886)",100,A1
1426,57.20617110799439,2319.3892005610096,16,"(37, 2297, 79, 2342)",100,A1
1100,58.17,1137.189090909091,17,"(40, 1119, 77, 1157)",100,A1
1640,65.1189024390244,1261.6573170731708,18,"(43, 1239, 89, 1285)",100,A1
992,65.09677419354838,105.44858870967742,19,"(48, 86, 83, 126)",100,A1
1466,69.26466575716235,1668.5579809004093,20,"(48, 1646, 91, 1692)",100,A1
1045,64.63923444976076,1458.8861244019138,21,"(50, 1438, 80, 1482)",100,A1
1157,73.46845289541919,1849.2126188418324,22,"(51, 1833, 97, 1866)",100,A1
1911,79.88487702773418,834.8749345892203,23,"(54, 812, 106, 859)",100,A1
1556,78.72622107969151,518.6934447300771,24,"(56, 496, 102, 543)",100,A1
1553,81.28267868641339,2277.656793303284,25,"(57, 2258, 108, 2297)",100,A1
