area,i,j,cell,bounds,tile,well
1559,25.57665169980757,1933.8774855676716,1,"(5, 1909, 47, 1957)",100,A2
1445,31.609688581314877,2181.365397923875,2,"(12, 2159, 53, 2205)",100,A2
993,30.40382678751259,181.6968781470292,3,"(14, 163, 49, 201)",100,A2
1338,33.586696562032884,827.593423019432,4,"(14, 807, 54, 849)",100,A2
1830,38.768852459016394,1390.292349726776,5,"(14, 1366, 65, 1416)",100,A2
1271,35.54917387883556,280.74272226593234,6,"(18, 256, 52, 307)",100,A2
1301,41.299769408147576,1300.1337432744042,7,"(20, 1281, 63, 1320)",100,A2
833,38.157262905162064,1228.7118847539016,8,"(21, 1213, 56, 1245)",100,A2
1434,53.099721059972104,2102.5062761506274,9,"(29, 2083, 77, 2122)",100,A2
729,48.382716049382715,1178.5048010973937,10,"(32, 1165, 66, 1193)",100,A2
1669,54.77890952666267,1890.8136608747752,11,"(33, 1868, 79, 1916)",100,A2
1722,59.5,995.2084785133566,12,"(36, 973, 84, 1019)",100,A2
1476,61.637533875338754,43.8529810298103,13,"(37, 24, 86, 63)",100,A2
1887,63.326974032856384,905.2967673555909,14,"(41, 879, 87, 933)",100,A2
1771,62.39412761151892,1463.8605307735743,15,"(41, 1438, 84, 1491)",100,A2
1311,63.83066361556064,1980.302822273074,16,"(42, 1960, 85, 1999)",100,A2
1961,74.23814380418155,1121.293727689954,17,"(49, 1096, 100, 1145)",100,A2
1512,82.10846560846561,1807.7982804232804,18,"(64, 1783, 102, 1833)",100,A2
1302,83.26190476190476,1701.3402457757297,19,"(66, 1680, 103, 1725)",100,A2
1613,89.83942963422194,1213.2176069435834,20,"(68, 1190, 112, 1238)",100,A2
1136,87.86179577464789,488.6857394366197,21,"(71, 468, 106, 509)",100,A2
1256,92.25238853503184,2052.1799363057326,22,"(74, 2030, 111, 2074)",100,A2
1194,95.28224455611391,2136.494137353434,23,"(78, 2113, 113, 2160)",100,A2
1390,104.36618705035971,1568.0122302158272,24,"(83, 1548, 127, 1589)",100,A2
1520,108.99013157894737,958.9144736842105,25,"(88, 936, 130, 983)",100,A2
2041,113.81430671239589,1056.7721705046545,26,"(89, 1031, 139, 1084)",100,A2
1571,110.14704010184596,1286.1094844048378,27,"(89, 1263, 132, 1309)",100,A2
1582,109.78761061946902,1357.9848293299622,28,"(90, 1333, 130, 1383)",100,A2
1370,112.98905109489051,1638.3014598540146,29,"(91, 1618, 136, 1659)",100,A2
700,111.23714285714286,1455.5342857142857,30,"(97, 1442, 128, 1471)",100,A2
1255,118.49322709163347,1932.1752988047808,31,"(97, 1915, 141, 1951)",100,A2
1300,119.0623076923077,448.55,32,"(100, 426, 139, 471)",100,A2
1450,124.08206896551724,2243.2386206896554,33,"(102, 2223, 149, 2264)",100,A2
991,125.81735620585268,1502.4157416750757,34,"(109, 1484, 142, 1522)",100,A2
1454,132.10522696011003,2183.143053645117,35,"(110, 2161, 155, 2207)",100,A2
1673,133.42737597130903,892.329348475792,36,"(113, 867, 156, 918)",100,A2
1738,136.6035673187572,610.2261219792865,37,"(114, 586, 159, 636)",100,A2
1682,141.58382877526753,1413.3793103448277,38,"(115, 1393, 169, 1434)",100,A2
1823,149.97421832144815,1807.6204059243007,39,"(129, 1780, 172, 1835)",100,A2
1814,155.51819184123485,1235.649393605292,40,"(134, 1210, 178, 1262)",100,A2
2274,161.96525945470538,1986.5554089709763,41,"(134, 1960, 190, 2013)",100,A2
1568,159.91836734693877,2316.029336734694,42,"(134, 2294, 186, 2337)",100,A2
1637,160.069639584606,1884.3005497861943,43,"(138, 1861, 183, 1910)",100,A2
1614,157.0185873605948,2061.2385377943,44,"(138, 2037, 177, 2088)",100,A2
1078,159.6734693877551,523.8497217068646,45,"(139, 507, 182, 540)",100,A2
1720,161.48720930232557,1708.8703488372093,46,"(139, 1684, 184, 1734)",100,A2
1255,157.72828685258963,1324.4,47,"(141, 1302, 175, 1349)",100,A2
1123,158.9679430097952,1519.20035618878,48,"(143, 1496, 176, 1542)",100,A2
1108,167.59837545126354,1454.0830324909748,49,"(144, 1437, 192, 1471)",100,A2
1247,164.85164394546914,1622.7313552526064,50,"(146, 1602, 185, 1643)",100,A2
1579,178.14312856238126,1013.5965801139962,51,"(152, 995, 204, 1034)",100,A2
1494,175.7182061579652,44.698125836680056,52,"(154, 23, 198, 68)",100,A2
1246,175.65890850722312,1157.2808988764045,53,"(156, 1137, 197, 1178)",100,A2
1803,182.88352745424294,937.7709373266778,54,"(157, 915, 210, 960)",100,A2
1798,190.73081201334816,1117.3820912124584,55,"(166, 1095, 217, 1141)",100,A2
2009,194.84420109507218,678.7929318068691,56,"(169, 655, 223, 702)",100,A2
1427,191.05466012613874,2355.052557813595,57,"(169, 2335, 215, 2375)",100,A2
1367,192.2787125091441,1383.7242136064374,58,"(173, 1361, 210, 1408)",100,A2
1122,195.49019607843138,1560.1247771836006,59,"(177, 1541, 215, 1580)",100,A2
1681,197.11302795954788,2199.3022010707914,60,"(177, 2172, 218, 2226)",100,A2
1028,197.6498054474708,1463.1634241245135,61,"(179, 1443, 217, 1484)",100,A2
1095,197.53150684931506,479.0337899543379,62,"(180, 460, 215, 499)",100,A2
1719,207.45956951716113,1270.0349040139615,63,"(188, 1242, 229, 1297)",100,A2
1685,209.16557863501484,2101.7151335311573,64,"(189, 2072, 228, 2130)",100,A2
1379,212.9492385786802,1162.653372008702,65,"(193, 1139, 233, 1186)",100,A2
1176,211.71003401360545,1742.968537414966,66,"(193, 1722, 231, 1763)",100,A2
1545,219.28025889967637,1630.8478964401295,67,"(198, 1609, 241, 1654)",100,A2
1003,216.51944167497507,1325.5712861415752,68,"(199, 1308, 236, 1344)",100,A2
1352,229.67455621301775,1803.0103550295858,69,"(208, 1783, 252, 1824)",100,A2
1079,224.67747914735867,1482.4726598702503,70,"(209, 1459, 240, 1506)",100,A2
1669,236.15038945476334,903.2139005392451,71,"(213, 880, 261, 927)",100,A2
1519,241.99275839368005,1196.199473337722,72,"(215, 1178, 268, 1216)",100,A2
934,235.05353319057815,1538.1927194860814,73,"(219, 1519, 252, 1558)",100,A2
1181,241.91024555461473,1353.082980524979,74,"(225, 1330, 260, 1376)",100,A2
1398,246.30543633762517,1122.4957081545065,75,"(226, 1101, 268, 1143)",100,A2
1528,248.8985602094241,2166.859947643979,76,"(226, 2145, 272, 2189)",100,A2
1905,254.65616797900262,525.7196850393701,77,"(229, 502, 281, 550)",100,A2
2380,258.51008403361345,608.8739495798319,78,"(230, 583, 289, 635)",100,A2
1949,254.910723447922,755.3519753719856,79,"(230, 731, 282, 780)",100,A2
