area,i,j,cell,bounds,tile,well
69,9.971014492753623,349.30434782608694,1,"(6, 345, 15, 355)",1,A2
125,13.344,1083.392,2,"(6, 1079, 22, 1089)",1,A2
82,13.378048780487806,210.08536585365854,3,"(8, 206, 20, 215)",1,A2
103,13.019417475728156,545.8543689320388,4,"(8, 540, 19, 552)",1,A2
75,12.36,626.12,5,"(8, 622, 18, 631)",1,A2
84,12.69047619047619,987.6309523809524,6,"(8, 983, 19, 993)",1,A2
78,13.576923076923077,92.43589743589743,7,"(9, 88, 19, 98)",1,A2
63,12.65079365079365,911.6666666666666,8,"(9, 908, 18, 917)",1,A2
116,15.129310344827585,599.8362068965517,9,"(10, 593, 21, 607)",1,A2
87,14.045977011494253,867.4827586206897,10,"(10, 862, 19, 874)",1,A2
78,14.794871794871796,1131.1666666666667,11,"(10, 1127, 20, 1137)",1,A2
94,15.882978723404255,12.585106382978724,12,"(11, 7, 21, 19)",1,A2
69,15.521739130434783,1008.1014492753624,13,"(11, 1004, 21, 1013)",1,A2
61,15.573770491803279,1096.5245901639344,14,"(11, 1093, 21, 1101)",1,A2
70,16.042857142857144,73.12857142857143,15,"(12, 69, 22, 79)",1,A2
78,16.807692307692307,247.35897435897436,16,"(12, 243, 23, 252)",1,A2
82,15.207317073170731,518.0,17,"(12, 512, 20, 525)",1,A2
129,18.248062015503876,1027.8992248062016,18,"(12, 1022, 26, 1035)",1,A2
98,16.714285714285715,1067.3163265306123,19,"(12, 1062, 22, 1074)",1,A2
68,17.83823529411765,263.1617647058824,20,"(13, 259, 23, 269)",1,A2
87,17.183908045977013,385.632183908046,21,"(13, 380, 22, 392)",1,A2
106,19.745283018867923,768.3396226415094,22,"(13, 763, 27, 774)",1,A2
121,18.462809917355372,930.7603305785124,23,"(13, 925, 25, 938)",1,A2
71,17.802816901408452,943.8450704225352,24,"(13, 940, 24, 949)",1,A2
77,18.896103896103895,52.27272727272727,25,"(14, 48, 25, 58)",1,A2
116,20.155172413793103,162.75862068965517,26,"(14, 157, 27, 169)",1,A2
104,19.346153846153847,302.3173076923077,27,"(14, 297, 25, 309)",1,A2
118,20.016949152542374,959.8983050847457,28,"(14, 954, 27, 967)",1,A2
97,20.556701030927837,33.97938144329897,29,"(15, 29, 27, 40)",1,A2
108,19.935185185185187,896.3055555555555,30,"(15, 891, 26, 903)",1,A2
114,21.210526315789473,440.10526315789474,31,"(16, 434, 28, 447)",1,A2
120,23.05,614.575,32,"(16, 610, 31, 620)",1,A2
82,21.621951219512194,656.6951219512196,33,"(16, 653, 28, 662)",1,A2
100,21.25,725.95,34,"(16, 721, 28, 732)",1,A2
83,20.795180722891565,280.6385542168675,35,"(17, 275, 26, 287)",1,A2
89,21.359550561797754,1142.9325842696628,36,"(17, 1138, 27, 1149)",1,A2
110,23.072727272727274,531.8636363636364,37,"(18, 526, 29, 539)",1,A2
89,23.59550561797753,567.4044943820224,38,"(18, 563, 30, 573)",1,A2
81,22.123456790123456,643.2222222222222,39,"(18, 638, 28, 649)",1,A2
68,22.25,880.7352941176471,40,"(18, 876, 27, 886)",1,A2
79,23.70886075949367,673.2658227848101,41,"(19, 668, 29, 679)",1,A2
94,23.9468085106383,979.0106382978723,42,"(19, 974, 30, 985)",1,A2
89,23.808988764044944,1046.1348314606741,43,"(19, 1041, 29, 1052)",1,A2
113,25.0,702.0530973451328,44,"(20, 696, 31, 709)",1,A2
75,24.68,913.6266666666667,45,"(20, 909, 31, 919)",1,A2
80,25.4875,1104.6,46,"(20, 1100, 31, 1110)",1,A2
76,25.289473684210527,417.55263157894734,47,"(21, 413, 31, 423)",1,A2
102,25.34313725490196,480.44117647058823,48,"(21, 474, 31, 488)",1,A2
102,26.392156862745097,553.8333333333334,49,"(21, 548, 32, 560)",1,A2
116,25.57758620689655,586.8189655172414,50,"(21, 580, 31, 595)",1,A2
123,26.252032520325205,789.1951219512196,51,"(21, 782, 32, 797)",1,A2
73,26.232876712328768,195.56164383561645,52,"(22, 191, 31, 201)",1,A2
131,26.51145038167939,347.80916030534354,53,"(22, 340, 33, 356)",1,A2
106,26.556603773584907,816.9905660377359,54,"(22, 811, 32, 824)",1,A2
75,26.226666666666667,1117.9866666666667,55,"(22, 1114, 32, 1123)",1,A2
110,28.48181818181818,147.29090909090908,56,"(23, 142, 35, 154)",1,A2
